[2026-03-06 11:27:25] info: 	z2m: Logging to console, file (filename: log.log)
[2026-03-06 11:27:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x00158d000726efac', payload '{"angle":62,"angle_x":1,"angle_x_absolute":89,"angle_y":0,"angle_y_absolute":90,"angle_z":89,"battery":100,"device":{"applicationVersion":8,"friendlyName":"0x00158d000726efac","ieeeAddr":"0x00158d000726efac","manufacturerID":4151,"manufacturerName":"LUMI","model":"DJT11LM","networkAddress":33714,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"device_temperature":25,"linkquality":178,"power_outage_count":6,"strength":7,"vibration":false,"voltage":3095,"x_axis":30,"y_axis":0,"z_axis":1344}'
[2026-03-06 11:27:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x84b4dbfffe04387b', payload '{"battery":93,"device":{"applicationVersion":16,"dateCode":"2021.09.15","friendlyName":"0x84b4dbfffe04387b","hardwareVersion":16,"ieeeAddr":"0x84b4dbfffe04387b","manufacturerID":4619,"manufacturerName":"HEIMAN","model":"HS3HT","networkAddress":48058,"powerSource":"Battery","stackVersion":2,"type":"EndDevice","zclVersion":3},"humidity":23.74,"linkquality":145,"temperature":23.5,"voltage":0}'
[2026-03-06 11:27:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x54ef4410007777e0', payload '{"battery":100,"detection_interval":30,"device":{"applicationVersion":6,"dateCode":"Jun  9 2022","friendlyName":"0x54ef4410007777e0","hardwareVersion":1,"ieeeAddr":"0x54ef4410007777e0","manufacturerID":4447,"manufacturerName":"LUMI","model":"RTCGQ14LM","networkAddress":39245,"powerSource":"Battery","softwareBuildID":"0.0.0_0006","type":"EndDevice","zclVersion":3},"device_temperature":25,"illuminance":84,"linkquality":174,"motion_sensitivity":"medium","occupancy":true,"power_outage_count":0,"trigger_indicator":false,"voltage":3099}'
[2026-03-06 11:27:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x0015bc0036001014', payload '{"air_quality":"moderate","battery":100,"battery_low":false,"device":{"dateCode":"20210824 21:43","friendlyName":"0x0015bc0036001014","hardwareVersion":110,"ieeeAddr":"0x0015bc0036001014","manufacturerID":4117,"manufacturerName":"frient A/S","model":"AQSZB-110","networkAddress":34761,"powerSource":"Battery","softwareBuildID":"4.0.1","type":"EndDevice","zclVersion":1},"humidity":23.2,"linkquality":149,"temperature":23.6,"update":{"installed_version":262145,"latest_release_notes":null,"latest_source":"https://raw.githubusercontent.com/Koenkk/zigbee-OTA/master/images/Develco/ED%20-%20HA%20-%20VOC%20Sensor-SSIG%204.0.1.zigbee","latest_version":262145,"state":"idle"},"voc":1022,"voltage":3200}'
[2026-03-06 11:27:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x44e2f8fffe37bbaa', payload '{"brightness":10,"color_mode":"color_temp","color_temp":275,"color_temp_startup":275,"device":{"applicationVersion":3,"dateCode":"20230619","friendlyName":"0x44e2f8fffe37bbaa","hardwareVersion":1,"ieeeAddr":"0x44e2f8fffe37bbaa","manufacturerID":4476,"manufacturerName":"IKEA of Sweden","model":"LED2107C4","networkAddress":29602,"powerSource":"Mains (single phase)","softwareBuildID":"3.0.8","stackVersion":113,"type":"Router","zclVersion":8},"linkquality":120,"state":"ON","update":{"installed_version":50331656,"latest_release_notes":"https://ww8.ikea.com/ikeahomesmart/releasenotes/releasenotes.html","latest_source":"https://raw.githubusercontent.com/Koenkk/zigbee-OTA/master/images/IKEA/zingo-ws_release_prod_v50331681_969bee21-eca6-4f10-a4c0-9685c0cd5d52.ota","latest_version":50331681,"state":"available"}}'
[2026-03-06 11:27:27] info: 	z2m: Zigbee2MQTT started!
[2026-03-06 11:27:31] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x0015bc0036001014', payload '{"air_quality":"moderate","battery":100,"battery_low":false,"device":{"dateCode":"20210824 21:43","friendlyName":"0x0015bc0036001014","hardwareVersion":110,"ieeeAddr":"0x0015bc0036001014","manufacturerID":4117,"manufacturerName":"frient A/S","model":"AQSZB-110","networkAddress":34761,"powerSource":"Battery","softwareBuildID":"4.0.1","type":"EndDevice","zclVersion":1},"humidity":23.2,"linkquality":149,"temperature":23.8,"update":{"installed_version":262145,"latest_release_notes":null,"latest_source":"https://raw.githubusercontent.com/Koenkk/zigbee-OTA/master/images/Develco/ED%20-%20HA%20-%20VOC%20Sensor-SSIG%204.0.1.zigbee","latest_version":262145,"state":"idle"},"voc":1022,"voltage":3200}'
[2026-03-06 11:27:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x54ef4410007777e0', payload '{"battery":100,"detection_interval":30,"device":{"applicationVersion":6,"dateCode":"Jun  9 2022","friendlyName":"0x54ef4410007777e0","hardwareVersion":1,"ieeeAddr":"0x54ef4410007777e0","manufacturerID":4447,"manufacturerName":"LUMI","model":"RTCGQ14LM","networkAddress":39245,"powerSource":"Battery","softwareBuildID":"0.0.0_0006","type":"EndDevice","zclVersion":3},"device_temperature":25,"illuminance":96,"linkquality":182,"motion_sensitivity":"medium","occupancy":true,"power_outage_count":0,"trigger_indicator":false,"voltage":3099}'
[2026-03-06 11:28:04] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x54ef4410007777e0', payload '{"battery":100,"detection_interval":30,"device":{"applicationVersion":6,"dateCode":"Jun  9 2022","friendlyName":"0x54ef4410007777e0","hardwareVersion":1,"ieeeAddr":"0x54ef4410007777e0","manufacturerID":4447,"manufacturerName":"LUMI","model":"RTCGQ14LM","networkAddress":39245,"powerSource":"Battery","softwareBuildID":"0.0.0_0006","type":"EndDevice","zclVersion":3},"device_temperature":25,"illuminance":96,"linkquality":182,"motion_sensitivity":"medium","occupancy":false,"power_outage_count":0,"trigger_indicator":false,"voltage":3099}'
[2026-03-06 11:28:11] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x54ef4410007777e0', payload '{"battery":100,"detection_interval":30,"device":{"applicationVersion":6,"dateCode":"Jun  9 2022","friendlyName":"0x54ef4410007777e0","hardwareVersion":1,"ieeeAddr":"0x54ef4410007777e0","manufacturerID":4447,"manufacturerName":"LUMI","model":"RTCGQ14LM","networkAddress":39245,"powerSource":"Battery","softwareBuildID":"0.0.0_0006","type":"EndDevice","zclVersion":3},"device_temperature":25,"illuminance":96,"linkquality":185,"motion_sensitivity":"medium","occupancy":true,"power_outage_count":0,"trigger_indicator":false,"voltage":3099}'
[2026-03-06 11:28:43] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x54ef4410007777e0', payload '{"battery":100,"detection_interval":30,"device":{"applicationVersion":6,"dateCode":"Jun  9 2022","friendlyName":"0x54ef4410007777e0","hardwareVersion":1,"ieeeAddr":"0x54ef4410007777e0","manufacturerID":4447,"manufacturerName":"LUMI","model":"RTCGQ14LM","networkAddress":39245,"powerSource":"Battery","softwareBuildID":"0.0.0_0006","type":"EndDevice","zclVersion":3},"device_temperature":25,"illuminance":96,"linkquality":185,"motion_sensitivity":"medium","occupancy":false,"power_outage_count":0,"trigger_indicator":false,"voltage":3099}'
[2026-03-06 11:29:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x54ef4410007777e0', payload '{"battery":100,"detection_interval":30,"device":{"applicationVersion":6,"dateCode":"Jun  9 2022","friendlyName":"0x54ef4410007777e0","hardwareVersion":1,"ieeeAddr":"0x54ef4410007777e0","manufacturerID":4447,"manufacturerName":"LUMI","model":"RTCGQ14LM","networkAddress":39245,"powerSource":"Battery","softwareBuildID":"0.0.0_0006","type":"EndDevice","zclVersion":3},"device_temperature":25,"illuminance":88,"linkquality":178,"motion_sensitivity":"medium","occupancy":true,"power_outage_count":0,"trigger_indicator":false,"voltage":3099}'
[2026-03-06 11:29:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x0015bc0036001014', payload '{"air_quality":"moderate","battery":100,"battery_low":false,"device":{"dateCode":"20210824 21:43","friendlyName":"0x0015bc0036001014","hardwareVersion":110,"ieeeAddr":"0x0015bc0036001014","manufacturerID":4117,"manufacturerName":"frient A/S","model":"AQSZB-110","networkAddress":34761,"powerSource":"Battery","softwareBuildID":"4.0.1","type":"EndDevice","zclVersion":1},"humidity":23.2,"linkquality":142,"temperature":23.8,"update":{"installed_version":262145,"latest_release_notes":null,"latest_source":"https://raw.githubusercontent.com/Koenkk/zigbee-OTA/master/images/Develco/ED%20-%20HA%20-%20VOC%20Sensor-SSIG%204.0.1.zigbee","latest_version":262145,"state":"idle"},"voc":1107,"voltage":3200}'
[2026-03-06 11:29:42] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x54ef4410007777e0', payload '{"battery":100,"detection_interval":30,"device":{"applicationVersion":6,"dateCode":"Jun  9 2022","friendlyName":"0x54ef4410007777e0","hardwareVersion":1,"ieeeAddr":"0x54ef4410007777e0","manufacturerID":4447,"manufacturerName":"LUMI","model":"RTCGQ14LM","networkAddress":39245,"powerSource":"Battery","softwareBuildID":"0.0.0_0006","type":"EndDevice","zclVersion":3},"device_temperature":25,"illuminance":88,"linkquality":178,"motion_sensitivity":"medium","occupancy":false,"power_outage_count":0,"trigger_indicator":false,"voltage":3099}'
[2026-03-06 11:30:04] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x54ef4410007777e0', payload '{"battery":100,"detection_interval":30,"device":{"applicationVersion":6,"dateCode":"Jun  9 2022","friendlyName":"0x54ef4410007777e0","hardwareVersion":1,"ieeeAddr":"0x54ef4410007777e0","manufacturerID":4447,"manufacturerName":"LUMI","model":"RTCGQ14LM","networkAddress":39245,"powerSource":"Battery","softwareBuildID":"0.0.0_0006","type":"EndDevice","zclVersion":3},"device_temperature":25,"illuminance":89,"linkquality":185,"motion_sensitivity":"medium","occupancy":true,"power_outage_count":0,"trigger_indicator":false,"voltage":3099}'
[2026-03-06 11:30:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x0015bc0036001014', payload '{"air_quality":"moderate","battery":100,"battery_low":false,"device":{"dateCode":"20210824 21:43","friendlyName":"0x0015bc0036001014","hardwareVersion":110,"ieeeAddr":"0x0015bc0036001014","manufacturerID":4117,"manufacturerName":"frient A/S","model":"AQSZB-110","networkAddress":34761,"powerSource":"Battery","softwareBuildID":"4.0.1","type":"EndDevice","zclVersion":1},"humidity":23.2,"linkquality":145,"temperature":23.8,"update":{"installed_version":262145,"latest_release_notes":null,"latest_source":"https://raw.githubusercontent.com/Koenkk/zigbee-OTA/master/images/Develco/ED%20-%20HA%20-%20VOC%20Sensor-SSIG%204.0.1.zigbee","latest_version":262145,"state":"idle"},"voc":1040,"voltage":3200}'
[2026-03-06 11:30:21] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x44e2f8fffe37bbaa', payload '{"brightness":50,"color_mode":"color_temp","color_temp":275,"color_temp_startup":275,"device":{"applicationVersion":3,"dateCode":"20230619","friendlyName":"0x44e2f8fffe37bbaa","hardwareVersion":1,"ieeeAddr":"0x44e2f8fffe37bbaa","manufacturerID":4476,"manufacturerName":"IKEA of Sweden","model":"LED2107C4","networkAddress":29602,"powerSource":"Mains (single phase)","softwareBuildID":"3.0.8","stackVersion":113,"type":"Router","zclVersion":8},"linkquality":116,"state":"ON","update":{"installed_version":50331656,"latest_release_notes":"https://ww8.ikea.com/ikeahomesmart/releasenotes/releasenotes.html","latest_source":"https://raw.githubusercontent.com/Koenkk/zigbee-OTA/master/images/IKEA/zingo-ws_release_prod_v50331681_969bee21-eca6-4f10-a4c0-9685c0cd5d52.ota","latest_version":50331681,"state":"available"}}'
[2026-03-06 11:30:22] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x44e2f8fffe37bbaa', payload '{"brightness":4,"color_mode":"color_temp","color_temp":275,"color_temp_startup":275,"device":{"applicationVersion":3,"dateCode":"20230619","friendlyName":"0x44e2f8fffe37bbaa","hardwareVersion":1,"ieeeAddr":"0x44e2f8fffe37bbaa","manufacturerID":4476,"manufacturerName":"IKEA of Sweden","model":"LED2107C4","networkAddress":29602,"powerSource":"Mains (single phase)","softwareBuildID":"3.0.8","stackVersion":113,"type":"Router","zclVersion":8},"linkquality":120,"state":"ON","update":{"installed_version":50331656,"latest_release_notes":"https://ww8.ikea.com/ikeahomesmart/releasenotes/releasenotes.html","latest_source":"https://raw.githubusercontent.com/Koenkk/zigbee-OTA/master/images/IKEA/zingo-ws_release_prod_v50331681_969bee21-eca6-4f10-a4c0-9685c0cd5d52.ota","latest_version":50331681,"state":"available"}}'
[2026-03-06 11:30:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x44e2f8fffe37bbaa', payload '{"brightness":12,"color_mode":"color_temp","color_temp":275,"color_temp_startup":275,"device":{"applicationVersion":3,"dateCode":"20230619","friendlyName":"0x44e2f8fffe37bbaa","hardwareVersion":1,"ieeeAddr":"0x44e2f8fffe37bbaa","manufacturerID":4476,"manufacturerName":"IKEA of Sweden","model":"LED2107C4","networkAddress":29602,"powerSource":"Mains (single phase)","softwareBuildID":"3.0.8","stackVersion":113,"type":"Router","zclVersion":8},"linkquality":120,"state":"ON","update":{"installed_version":50331656,"latest_release_notes":"https://ww8.ikea.com/ikeahomesmart/releasenotes/releasenotes.html","latest_source":"https://raw.githubusercontent.com/Koenkk/zigbee-OTA/master/images/IKEA/zingo-ws_release_prod_v50331681_969bee21-eca6-4f10-a4c0-9685c0cd5d52.ota","latest_version":50331681,"state":"available"}}'
[2026-03-06 11:30:36] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x54ef4410007777e0', payload '{"battery":100,"detection_interval":30,"device":{"applicationVersion":6,"dateCode":"Jun  9 2022","friendlyName":"0x54ef4410007777e0","hardwareVersion":1,"ieeeAddr":"0x54ef4410007777e0","manufacturerID":4447,"manufacturerName":"LUMI","model":"RTCGQ14LM","networkAddress":39245,"powerSource":"Battery","softwareBuildID":"0.0.0_0006","type":"EndDevice","zclVersion":3},"device_temperature":25,"illuminance":89,"linkquality":185,"motion_sensitivity":"medium","occupancy":false,"power_outage_count":0,"trigger_indicator":false,"voltage":3099}'
[2026-03-06 11:30:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x54ef4410007777e0', payload '{"battery":100,"detection_interval":30,"device":{"applicationVersion":6,"dateCode":"Jun  9 2022","friendlyName":"0x54ef4410007777e0","hardwareVersion":1,"ieeeAddr":"0x54ef4410007777e0","manufacturerID":4447,"manufacturerName":"LUMI","model":"RTCGQ14LM","networkAddress":39245,"powerSource":"Battery","softwareBuildID":"0.0.0_0006","type":"EndDevice","zclVersion":3},"device_temperature":25,"illuminance":89,"linkquality":182,"motion_sensitivity":"medium","occupancy":true,"power_outage_count":0,"trigger_indicator":false,"voltage":3099}'
[2026-03-06 11:30:50] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"offline"}'
[2026-03-06 11:30:50] info: 	z2m: Disconnecting from MQTT server
[2026-03-06 11:30:50] info: 	z2m: Stopping zigbee-herdsman...
